sample_id,country_code,level0,level1_family,level2_genus,level3_species,location,source,species_key,year,longitude,latitude,Category
341494,TW,Deciduous Broadleaf,Rosaceae,Prunus,Prunus obtusata,Chinese Taipei,iNaturalist Research-grade Observations,3022651.0,2023,120.8928914558916,23.480061002976235,Rare
5723240,NZ,Evergreen Broadleaf,Araliaceae,Schefflera,Schefflera macrophylla,New Zealand,iNaturalist Research-grade Observations,8800.0,2023,174.76309508212492,-41.28321370020419,Frequent
5286788,AU,Evergreen Broadleaf,Proteaceae,Adenanthos,Adenanthos obovatus,Australia,iNaturalist Research-grade Observations,3996576.0,2022,117.69651417965947,-34.78324006290983,Common
2984798,CA,Deciduous Broadleaf,Rosaceae,Rubus,Rubus bifrons,Canada,iNaturalist Research-grade Observations,2995779.0,2020,-122.84561207101451,49.328216802405976,Frequent
3458759,US,Deciduous Broadleaf,Viburnaceae,Viburnum,Viburnum edule,United States of America,iNaturalist Research-grade Observations,2888613.0,2022,-150.11752762310215,62.7472348530986,Frequent
1826911,IT,Deciduous Broadleaf,Rosaceae,Sorbus,Sorbus aucuparia,Italy,Pl@ntNet automatically identified occurrences,3012167.0,2020,10.76253535270856,45.79519077394184,Frequent
3798746,US,Deciduous Broadleaf,Fabaceae,Lespedeza,Lespedeza procumbens,United States of America,iNaturalist Research-grade Observations,2955681.0,2024,-77.4705711756315,37.51710154147435,Common
1253385,DK,Deciduous Broadleaf,Ulmaceae,Ulmus,Ulmus glabra,Denmark,iNaturalist Research-grade Observations,5361866.0,2021,10.203114370947452,56.13075828258084,Frequent
1965278,GB,Deciduous Broadleaf,Rosaceae,Malus,Docynia delavayi,United Kingdom of Great Britain and Northern Ireland,Other BSBI Scottish data up to 2018,3001068.0,2017,-3.764324059207423,56.64538759426009,Frequent
3798887,US,Deciduous Broadleaf,Fabaceae,Lespedeza,Lespedeza procumbens,United States of America,iNaturalist Research-grade Observations,2955681.0,2021,-83.24427318794693,33.83373692099329,Common
3637672,US,Deciduous Broadleaf,Passifloraceae,Passiflora,Passiflora incarnata,United States of America,iNaturalist Research-grade Observations,2874218.0,2019,-91.86874539024608,35.2381753887866,Frequent
4542253,US,Evergreen Broadleaf,Ericaceae,Kalmia,Kalmia microphylla,United States of America,iNaturalist Research-grade Observations,2882998.0,2023,-114.49249400422175,46.11660723697528,Frequent
4443607,US,Deciduous Broadleaf,Rosaceae,Rhodotypos,Rhodotypos scandens,United States of America,iNaturalist Research-grade Observations,3032442.0,2024,-74.61492718819635,40.55780714082962,Frequent
